Genome	KEGG_module	Counts
MGYG000297000	M00573	2
MGYG000297000	M00577	2
MGYG000297000	M00453	2
MGYG000297000	M00126	4
MGYG000297000	M00841	2
MGYG000297000	M00729	2
MGYG000297000	M00815	1
MGYG000297000	M00845	4
MGYG000297000	M00127	3
MGYG000297000	M00537	1
MGYG000297000	M00787	1
MGYG000297000	M00237	1
MGYG000297000	M00642	2
MGYG000297000	M00211	1
MGYG000297000	M00365	1
MGYG000297000	M00366	1
MGYG000297000	M00367	1
MGYG000297000	M00632	2
MGYG000297000	M00530	2
MGYG000297000	M00533	1
MGYG000297000	M00555	1
MGYG000297000	M00344	1
MGYG000297000	M00345	1
MGYG000297000	M00166	2
MGYG000297000	M00552	2
MGYG000297000	M00029	3
MGYG000297000	M00844	3
MGYG000297000	M00169	1
MGYG000297000	M00172	1
MGYG000297000	M00743	1
MGYG000297000	M00104	1
MGYG000297000	M00244	2
MGYG000297000	M00547	1
MGYG000297000	M00523	1
MGYG000297000	M00727	1
MGYG000297000	M00027	1
MGYG000297000	M00580	1
MGYG000297000	M00034	2
MGYG000297000	M00368	1
MGYG000297000	M00609	1
MGYG000297000	M00005	1
MGYG000297000	M00596	1
MGYG000297000	M00529	1
MGYG000297000	M00131	1
MGYG000297000	M00240	1
