Genome	KEGG_module	Counts
MGYG000307531	M00122	3
MGYG000307531	M00210	5
MGYG000307531	M00669	3
MGYG000307531	M00670	3
MGYG000307531	M00620	3
MGYG000307531	M00769	1
MGYG000307531	M00507	1
MGYG000307531	M00194	5
MGYG000307531	M00361	4
MGYG000307531	M00632	6
MGYG000307531	M00236	7
MGYG000307531	M00027	2
MGYG000307531	M00032	4
MGYG000307531	M00254	7
MGYG000307531	M00156	4
MGYG000307531	M00555	2
MGYG000307531	M00053	6
MGYG000307531	M00118	3
MGYG000307531	M00586	3
MGYG000307531	M00513	4
MGYG000307531	M00475	2
MGYG000307531	M00089	4
MGYG000307531	M00095	2
MGYG000307531	M00739	5
MGYG000307531	M00033	8
MGYG000307531	M00096	8
MGYG000307531	M00364	2
MGYG000307531	M00365	1
MGYG000307531	M00366	1
MGYG000307531	M00367	1
MGYG000307531	M00506	7
MGYG000307531	M00080	3
MGYG000307531	M00191	3
MGYG000307531	M00325	1
MGYG000307531	M00326	1
MGYG000307531	M00339	1
MGYG000307531	M00571	1
MGYG000307531	M00575	1
MGYG000307531	M00646	2
MGYG000307531	M00696	1
MGYG000307531	M00697	1
MGYG000307531	M00709	1
MGYG000307531	M00821	1
MGYG000307531	M00169	1
MGYG000307531	M00439	5
MGYG000307531	M00086	4
MGYG000307531	M00336	3
MGYG000307531	M00628	2
MGYG000307531	M00114	4
MGYG000307531	M00029	3
MGYG000307531	M00844	3
MGYG000307531	M00015	3
MGYG000307531	M00018	9
MGYG000307531	M00265	2
MGYG000307531	M00266	2
MGYG000307531	M00268	1
MGYG000307531	M00270	2
MGYG000307531	M00272	1
MGYG000307531	M00303	1
MGYG000307531	M00806	1
MGYG000307531	M00320	3
MGYG000307531	M00793	4
MGYG000307531	M00120	4
MGYG000307531	M00273	5
MGYG000307531	M00149	4
MGYG000307531	M00008	4
MGYG000307531	M00061	6
MGYG000307531	M00631	4
MGYG000307531	M00131	1
MGYG000307531	M00116	8
MGYG000307531	M00004	8
MGYG000307531	M00007	4
MGYG000307531	M00335	13
MGYG000307531	M00445	2
MGYG000307531	M00841	5
MGYG000307531	M00442	3
MGYG000307531	M00150	4
MGYG000307531	M00565	4
MGYG000307531	M00238	3
MGYG000307531	M00064	4
MGYG000307531	M00129	1
MGYG000307531	M00549	2
MGYG000307531	M00153	3
MGYG000307531	M00580	1
MGYG000307531	M00140	3
MGYG000307531	M00141	1
MGYG000307531	M00274	1
MGYG000307531	M00006	3
MGYG000307531	M00133	3
MGYG000307531	M00024	3
MGYG000307531	M00025	3
MGYG000307531	M00034	3
MGYG000307531	M00040	1
MGYG000307531	M00200	1
MGYG000307531	M00204	1
MGYG000307531	M00207	1
MGYG000307531	M00491	1
MGYG000307531	M00020	3
MGYG000307531	M00722	1
MGYG000307531	M00486	1
MGYG000307531	M00488	1
MGYG000307531	M00490	1
MGYG000307531	M00269	1
MGYG000307531	M00514	3
MGYG000307531	M00377	3
MGYG000307531	M00021	2
MGYG000307531	M00093	3
MGYG000307531	M00123	4
MGYG000307531	M00573	4
MGYG000307531	M00577	4
MGYG000307531	M00403	1
MGYG000307531	M00190	3
MGYG000307531	M00842	2
MGYG000307531	M00843	2
MGYG000307531	M00554	2
MGYG000307531	M00721	1
MGYG000307531	M00761	1
MGYG000307531	M00035	2
MGYG000307531	M00368	1
MGYG000307531	M00609	3
MGYG000307531	M00151	3
MGYG000307531	M00152	3
MGYG000307531	M00820	1
MGYG000307531	M00533	1
MGYG000307531	M00345	2
MGYG000307531	M00005	1
MGYG000307531	M00135	1
