Module_accession	% completeness	pathway_name	pathway_class	matching_KO	missing_KO
M00115	100.0	NAD biosynthesis, aspartate => NAD	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	5	0
M00119	100.0	Pantothenate biosynthesis, valine/L-aspartate => pantothenate	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	3	0
M00122	100.0	Cobalamin biosynthesis, cobinamide => cobalamin	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	6	0
M00125	100.0	Riboflavin biosynthesis, GTP => riboflavin/FMN/FAD	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	2	0
M00133	100.0	Polyamine biosynthesis, arginine => agmatine => putrescine => spermidine	Pathway modules; Amino acid metabolism; Polyamine biosynthesis	2	0
M00135	100.0	GABA biosynthesis, eukaryotes, putrescine => GABA	Pathway modules; Amino acid metabolism; Polyamine biosynthesis	3	0
M00140	100.0	C1-unit interconversion, prokaryotes	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	3	0
M00149	100.0	Succinate dehydrogenase, prokaryotes	Pathway modules; Energy metabolism; ATP synthesis	4	0
M00151	100.0	Cytochrome bc1 complex respiratory unit	Pathway modules; Energy metabolism; ATP synthesis	3	0
M00153	100.0	Cytochrome bd ubiquinol oxidase	Pathway modules; Energy metabolism; ATP synthesis	3	0
M00155	100.0	Cytochrome c oxidase, prokaryotes	Pathway modules; Energy metabolism; ATP synthesis	4	0
M00157	100.0	F-type ATPase, prokaryotes and chloroplasts	Pathway modules; Energy metabolism; ATP synthesis	8	0
M00159	100.0	V/A-type ATPase, prokaryotes	Pathway modules; Energy metabolism; ATP synthesis	9	0
M00161	100.0	Photosystem II	Pathway modules; Energy metabolism; Photosynthesis	6	0
M00169	100.0	CAM (Crassulacean acid metabolism), light	Pathway modules; Energy metabolism; Carbon fixation	2	0
M00307	100.0	Pyruvate oxidation, pyruvate => acetyl-CoA	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	5	0
M00338	100.0	Cysteine biosynthesis, homocysteine + serine => cysteine	Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism	2	0
M00346	100.0	Formaldehyde assimilation, serine pathway	Pathway modules; Energy metabolism; Methane metabolism	10	0
M00364	100.0	C10-C20 isoprenoid biosynthesis, bacteria	Pathway modules; Biosynthesis of terpenoids and polyketides; Terpenoid backbone biosynthesis	3	0
M00378	100.0	F420 biosynthesis	Pathway modules; Energy metabolism; Methane metabolism	1	0
M00527	100.0	Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine	Pathway modules; Amino acid metabolism; Lysine metabolism	8	0
M00531	100.0	Assimilatory nitrate reduction, nitrate => ammonia	Pathway modules; Energy metabolism; Nitrogen metabolism	2	0
M00535	100.0	Isoleucine biosynthesis, pyruvate => 2-oxobutanoate	Pathway modules; Amino acid metabolism; Branched-chain amino acid metabolism	4	0
M00552	100.0	D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	5	0
M00554	100.0	Nucleotide sugar biosynthesis, galactose => UDP-galactose	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	2	0
M00570	100.0	Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine	Pathway modules; Amino acid metabolism; Branched-chain amino acid metabolism	7	0
M00595	100.0	Thiosulfate oxidation by SOX complex, thiosulfate => sulfate	Pathway modules; Energy metabolism; Sulfur metabolism	7	0
M00596	100.0	Dissimilatory sulfate reduction, sulfate => H2S	Pathway modules; Energy metabolism; Sulfur metabolism	7	0
M00597	100.0	Anoxygenic photosystem II	Pathway modules; Energy metabolism; Photosynthesis	2	0
M00632	100.0	Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	4	0
M00741	100.0	Propanoyl-CoA metabolism, propanoyl-CoA => succinyl-CoA	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	6	0
M00763	100.0	Ornithine biosynthesis, mediated by LysW, glutamate => ornithine	Pathway modules; Amino acid metabolism; Arginine and proline metabolism	1	0
M00793	100.0	dTDP-L-rhamnose biosynthesis	Pathway modules; Biosynthesis of terpenoids and polyketides; Polyketide sugar unit biosynthesis	4	0
M00844	100.0	Arginine biosynthesis, ornithine => arginine	Pathway modules; Amino acid metabolism; Arginine and proline metabolism	3	0
M00866	100.0	KDO2-lipid A biosynthesis, Raetz pathway, non-LpxL-LpxM type	Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism	10	0
M00868	100.0	Heme biosynthesis, animals and fungi, glycine => heme	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	8	0
M00880	100.0	Molybdenum cofactor biosynthesis, GTP => molybdenum cofactor	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	6	0
M00144	96.77	NADH	Pathway modules; Energy metabolism; ATP synthesis	13	1
M00145	90.91	NAD(P)H	Pathway modules; Energy metabolism; ATP synthesis	13	1
M00165	90.91	Reductive pentose phosphate cycle (Calvin cycle)	Pathway modules; Energy metabolism; Carbon fixation	13	0
M00121	90.0	Heme biosynthesis, plants and bacteria, glutamate => heme	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	13	0
M00060	88.89	KDO2-lipid A biosynthesis, Raetz pathway, LpxL-LpxM type	Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism	8	1
M00373	88.89	Ethylmalonyl pathway	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	8	1
M00048	87.5	Inosine monophosphate biosynthesis, PRPP + glutamine => IMP	Pathway modules; Nucleotide metabolism; Purine metabolism	13	0
M00053	87.5	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	Pathway modules; Nucleotide metabolism; Pyrimidine metabolism	8	2
M00162	87.5	Cytochrome b6f complex	Pathway modules; Energy metabolism; ATP synthesis	7	1
M00022	85.71	Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate	Pathway modules; Amino acid metabolism; Aromatic amino acid metabolism	8	0
M00095	85.71	C5 isoprenoid biosynthesis, mevalonate pathway	Pathway modules; Biosynthesis of terpenoids and polyketides; Terpenoid backbone biosynthesis	6	2
M00167	85.71	Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P	Pathway modules; Energy metabolism; Carbon fixation	7	0
M00845	85.71	Arginine biosynthesis, glutamate => acetylcitrulline => arginine	Pathway modules; Amino acid metabolism; Arginine and proline metabolism	6	1
M00846	85.71	Siroheme biosynthesis, glutamate => siroheme	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	11	0
M00849	85.71	C5 isoprenoid biosynthesis, mevalonate pathway, archaea	Pathway modules; Biosynthesis of terpenoids and polyketides; Terpenoid backbone biosynthesis	7	1
M00124	83.33	Pyridoxal biosynthesis, erythrose-4P => pyridoxal-5P	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	5	1
M00163	83.33	Photosystem I	Pathway modules; Energy metabolism; Photosynthesis	5	1
M00526	83.33	Lysine biosynthesis, DAP dehydrogenase pathway, aspartate => lysine	Pathway modules; Amino acid metabolism; Lysine metabolism	6	1
M00572	83.33	Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	7	0
M00878	82.86	Phenylacetate degradation, phenylaxetate => acetyl-CoA/succinyl-CoA	Pathway modules; Xenobiotics biodegradation; Aromatics degradation	9	2
M00173	81.82	Reductive citrate cycle (Arnon-Buchanan cycle)	Pathway modules; Energy metabolism; Carbon fixation	17	7
M00012	80.0	Glyoxylate cycle	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	6	0
M00028	80.0	Ornithine biosynthesis, glutamate => ornithine	Pathway modules; Amino acid metabolism; Arginine and proline metabolism	7	0
M00033	80.0	Ectoine biosynthesis, aspartate => ectoine	Pathway modules; Amino acid metabolism; Serine and threonine metabolism	4	1
M00044	80.0	Tyrosine degradation, tyrosine => homogentisate	Pathway modules; Amino acid metabolism; Aromatic amino acid metabolism	5	3
M00061	80.0	D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	4	1
M00126	80.0	Tetrahydrofolate biosynthesis, GTP => THF	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	11	0
M00308	80.0	Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	4	1
M00631	80.0	D-Galacturonate degradation (bacteria), D-galacturonate => pyruvate + D-glyceraldehyde 3P	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	4	1
M00879	80.0	Arginine succinyltransferase pathway, arginine => glutamate	Pathway modules; Amino acid metabolism; Arginine and proline metabolism	4	1
M00009	78.12	Citrate cycle (TCA cycle, Krebs cycle)	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	19	0
M00034	77.78	Methionine salvage pathway	Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism	10	4
M00117	77.78	Ubiquinone biosynthesis, prokaryotes, chorismate => ubiquinone	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	7	2
M00007	75.0	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	5	0
M00087	75.0	beta-Oxidation	Pathway modules; Lipid metabolism; Fatty acid metabolism	6	0
M00123	75.0	Biotin biosynthesis, pimeloyl-ACP/CoA => biotin	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	3	1
M00166	75.0	Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P	Pathway modules; Energy metabolism; Carbon fixation	6	0
M00172	75.0	C4-dicarboxylic acid cycle, NADP - malic enzyme type	Pathway modules; Energy metabolism; Carbon fixation	3	1
M00345	75.0	Formaldehyde assimilation, ribulose monophosphate pathway	Pathway modules; Energy metabolism; Methane metabolism	3	2
M00358	75.0	Coenzyme M biosynthesis	Pathway modules; Energy metabolism; Methane metabolism	4	1
M00036	69.44	Leucine degradation, leucine => acetoacetate + acetyl-CoA	Pathway modules; Amino acid metabolism; Branched-chain amino acid metabolism	9	2
M00374	69.23	Dicarboxylate-hydroxybutyrate cycle	Pathway modules; Energy metabolism; Carbon fixation	12	9
M00010	66.67	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	4	0
M00082	66.67	Fatty acid biosynthesis, initiation	Pathway modules; Lipid metabolism; Fatty acid metabolism	7	0
M00432	66.67	Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate	Pathway modules; Amino acid metabolism; Branched-chain amino acid metabolism	4	0
M00525	66.67	Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine	Pathway modules; Amino acid metabolism; Lysine metabolism	6	3
M00549	66.67	Nucleotide sugar biosynthesis, glucose => UDP-glucose	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	3	0
M00580	66.67	Pentose phosphate pathway, archaea, fructose 6P => ribose 5P	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	2	2
M00627	66.67	beta-Lactam resistance, Bla system	Signature modules; Gene set; Drug resistance	2	1
M00841	66.67	Tetrahydrofolate biosynthesis, mediated by PTPS, GTP => THF	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	4	2
M00842	66.67	Tetrahydrobiopterin biosynthesis, GTP => BH4	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	2	1
M00843	66.67	L-threo-Tetrahydrobiopterin biosynthesis, GTP => L-threo-BH4	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	2	1
M00011	65.0	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	15	0
M00152	64.71	Cytochrome bc1 complex	Pathway modules; Energy metabolism; ATP synthesis	4	6
M00023	60.0	Tryptophan biosynthesis, chorismate => tryptophan	Pathway modules; Amino acid metabolism; Aromatic amino acid metabolism	8	0
M00029	60.0	Urea cycle	Pathway modules; Amino acid metabolism; Arginine and proline metabolism	3	2
M00573	60.0	Biotin biosynthesis, BioI pathway, long-chain-acyl-ACP => pimeloyl-ACP => biotin	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	3	2
M00577	60.0	Biotin biosynthesis, BioW pathway, pimelate => pimeloyl-CoA => biotin	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	3	2
M00530	58.33	Dissimilatory nitrate reduction, nitrate => ammonia	Pathway modules; Energy metabolism; Nitrogen metabolism	3	2
M00376	55.56	3-Hydroxypropionate bi-cycle	Pathway modules; Energy metabolism; Carbon fixation	12	5
M00532	55.56	Photorespiration	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	6	5
M00037	50.0	Melatonin biosynthesis, tryptophan => serotonin => melatonin	Pathway modules; Amino acid metabolism; Aromatic amino acid metabolism	2	2
M00040	50.0	Tyrosine biosynthesis, prephanate => pretyrosine => tyrosine	Pathway modules; Amino acid metabolism; Aromatic amino acid metabolism	2	2
M00098	50.0	Acylglycerol degradation	Pathway modules; Lipid metabolism; Lipid metabolism	1	1
M00100	50.0	Sphingosine degradation	Pathway modules; Lipid metabolism; Lipid metabolism	1	1
M00107	50.0	Steroid hormone biosynthesis, cholesterol => prognenolone => progesterone	Pathway modules; Lipid metabolism; Sterol biosynthesis	1	1
M00114	50.0	Ascorbate biosynthesis, plants, glucose-6P => ascorbate	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	9	4
M00118	50.0	Glutathione biosynthesis, glutamate => glutathione	Pathway modules; Amino acid metabolism; Other amino acid metabolism	2	0
M00127	50.0	Thiamine biosynthesis, AIR => thiamine-P/thiamine-2P	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	2	0
M00128	50.0	Ubiquinone biosynthesis, eukaryotes, 4-hydroxybenzoate => ubiquinone	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	2	3
M00134	50.0	Polyamine biosynthesis, arginine => ornithine => putrescine	Pathway modules; Amino acid metabolism; Polyamine biosynthesis	1	1
M00136	50.0	GABA biosynthesis, prokaryotes, putrescine => GABA	Pathway modules; Amino acid metabolism; Polyamine biosynthesis	2	2
M00141	50.0	C1-unit interconversion, eukaryotes	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	1	1
M00143	50.0	NADH dehydrogenase (ubiquinone) Fe-S protein/flavoprotein complex, mitochondria	Pathway modules; Energy metabolism; ATP synthesis	5	5
M00168	50.0	CAM (Crassulacean acid metabolism), dark	Pathway modules; Energy metabolism; Carbon fixation	2	0
M00170	50.0	C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type	Pathway modules; Energy metabolism; Carbon fixation	2	2
M00176	50.0	Assimilatory sulfate reduction, sulfate => H2S	Pathway modules; Energy metabolism; Sulfur metabolism	7	0
M00344	50.0	Formaldehyde assimilation, xylulose monophosphate pathway	Pathway modules; Energy metabolism; Methane metabolism	2	2
M00365	50.0	C10-C20 isoprenoid biosynthesis, archaea	Pathway modules; Biosynthesis of terpenoids and polyketides; Terpenoid backbone biosynthesis	1	1
M00366	50.0	C10-C20 isoprenoid biosynthesis, plants	Pathway modules; Biosynthesis of terpenoids and polyketides; Terpenoid backbone biosynthesis	2	2
M00533	50.0	Homoprotocatechuate degradation, homoprotocatechuate => 2-oxohept-3-enedioate	Pathway modules; Amino acid metabolism; Aromatic amino acid metabolism	3	2
M00565	50.0	Trehalose biosynthesis, D-glucose 1P => trehalose	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	4	3
M00579	50.0	Phosphate acetyltransferase-acetate kinase pathway, acetyl-CoA => acetate	Pathway modules; Energy metabolism; Carbon fixation	1	3
M00615	50.0	Nitrate assimilation	Signature modules; Module set; Metabolic capacity	4	1
M00622	50.0	Nicotinate degradation, nicotinate => fumarate	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	3	4
M00623	50.0	Phthalate degradation, phthalate => protocatechuate	Pathway modules; Xenobiotics biodegradation; Aromatics degradation	2	2
M00642	50.0	Multidrug resistance, efflux pump MexJK-OprM	Signature modules; Gene set; Drug resistance	1	2
M00698	50.0	Multidrug resistance, efflux pump BpeEF-OprC	Signature modules; Gene set; Drug resistance	1	3
M00840	50.0	Tetrahydrofolate biosynthesis, mediated by ribA and trpF, GTP => THF	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	3	3
M00854	50.0	Glycogen biosynthesis, glucose-1P => glycogen/starch	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	4	0
M00855	50.0	Glycogen degradation, glycogen => glucose-6P	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	5	0
M00874	50.0	Fatty acid biosynthesis in mitochondria, fungi	Pathway modules; Lipid metabolism; Fatty acid metabolism	4	3
M00740	45.45	Methylaspartate cycle	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	5	7
M00129	42.86	Ascorbate biosynthesis, animals, glucose-1P => ascorbate	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	3	5
M00377	42.86	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)	Pathway modules; Energy metabolism; Carbon fixation	3	6
M00569	42.86	Catechol meta-cleavage, catechol => acetyl-CoA / 4-methylcatechol => propanoyl-CoA	Pathway modules; Xenobiotics biodegradation; Aromatics degradation	4	5
M00013	40.0	Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	2	6
M00546	40.0	Purine degradation, xanthine => urea	Pathway modules; Nucleotide metabolism; Purine metabolism	8	5
M00575	40.0	Pertussis pathogenicity signature, T1SS	Signature modules; Gene set; Pathogenicity	2	3
M00014	37.5	Glucuronate pathway (uronate pathway)	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	3	9
M00375	35.71	Hydroxypropionate-hydroxybutylate cycle	Pathway modules; Energy metabolism; Carbon fixation	6	12
M00620	35.71	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	Pathway modules; Energy metabolism; Carbon fixation	5	12
M00024	33.33	Phenylalanine biosynthesis, chorismate => phenylalanine	Pathway modules; Amino acid metabolism; Aromatic amino acid metabolism	5	2
M00025	33.33	Tyrosine biosynthesis, chorismate => tyrosine	Pathway modules; Amino acid metabolism; Aromatic amino acid metabolism	5	3
M00046	33.33	Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate	Pathway modules; Nucleotide metabolism; Pyrimidine metabolism	4	0
M00047	33.33	Creatine pathway	Pathway modules; Amino acid metabolism; Arginine and proline metabolism	1	2
M00081	33.33	Pectin degradation	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	1	2
M00110	33.33	C19/C18-Steroid hormone biosynthesis, pregnenolone => androstenedione => estrone	Pathway modules; Lipid metabolism; Sterol biosynthesis	1	2
M00154	33.33	Cytochrome c oxidase	Pathway modules; Energy metabolism; ATP synthesis	5	11
M00367	33.33	C10-C20 isoprenoid biosynthesis, non-plant eukaryotes	Pathway modules; Biosynthesis of terpenoids and polyketides; Terpenoid backbone biosynthesis	1	2
M00368	33.33	Ethylene biosynthesis, methionine => ethylene	Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism	1	3
M00609	33.33	Cysteine biosynthesis, methionine => cysteine	Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism	2	4
M00744	33.33	Cationic antimicrobial peptide (CAMP) resistance, protease PgtE	Signature modules; Gene set; Drug resistance	1	2
M00769	33.33	Multidrug resistance, efflux pump MexPQ-OpmE	Signature modules; Gene set; Drug resistance	1	4
M00873	33.33	Fatty acid biosynthesis in mitochondria, animals	Pathway modules; Lipid metabolism; Fatty acid metabolism	3	5
M00567	32.5	Methanogenesis, CO2 => methane	Pathway modules; Energy metabolism; Methane metabolism	5	22
M00171	28.57	C4-dicarboxylic acid cycle, NAD - malic enzyme type	Pathway modules; Energy metabolism; Carbon fixation	2	7
M00835	28.57	Pyocyanine biosynthesis, chorismate => pyocyanine	Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of other secondary metabolites	2	5
M00860	28.57	Bacillus anthracis pathogenicity signature, polyglutamic acid capsule biosynthesis	Signature modules; Gene set; Pathogenicity	2	5
M00032	27.78	Lysine degradation, lysine => saccharopine => acetoacetyl-CoA	Pathway modules; Amino acid metabolism; Lysine metabolism	5	4
M00158	26.67	F-type ATPase, eukaryotes	Pathway modules; Energy metabolism; ATP synthesis	4	14
M00056	25.0	O-glycan biosynthesis, mucin type core	Pathway modules; Glycan metabolism; Glycan biosynthesis	1	6
M00078	25.0	Heparan sulfate degradation	Pathway modules; Glycan metabolism; Glycosaminoglycan metabolism	2	7
M00079	25.0	Keratan sulfate degradation	Pathway modules; Glycan metabolism; Glycosaminoglycan metabolism	1	3
M00089	25.0	Triacylglycerol biosynthesis	Pathway modules; Lipid metabolism; Lipid metabolism	4	3
M00094	25.0	Ceramide biosynthesis	Pathway modules; Lipid metabolism; Lipid metabolism	1	5
M00112	25.0	Tocopherol/tocotorienol biosynthesis	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	1	3
M00116	25.0	Menaquinone biosynthesis, chorismate => menaquinol	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	3	0
M00120	25.0	Coenzyme A biosynthesis, pantothenate => CoA	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	6	0
M00131	25.0	Inositol phosphate metabolism, Ins(1,3,4,5)P4 => Ins(1,3,4)P3 => myo-inositol	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	1	4
M00148	25.0	Succinate dehydrogenase (ubiquinone)	Pathway modules; Energy metabolism; ATP synthesis	1	3
M00150	25.0	Fumarate reductase, prokaryotes	Pathway modules; Energy metabolism; ATP synthesis	1	3
M00417	25.0	Cytochrome o ubiquinol oxidase	Pathway modules; Energy metabolism; ATP synthesis	1	3
M00568	25.0	Catechol ortho-cleavage, catechol => 3-oxoadipate	Pathway modules; Xenobiotics biodegradation; Aromatics degradation	1	4
M00633	25.0	Semi-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate-3P	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	1	3
M00651	25.0	Vancomycin resistance, D-Ala-D-Lac type	Signature modules; Gene set; Drug resistance	1	3
M00790	25.0	Pyrrolnitrin biosynthesis, tryptophan => pyrrolnitrin	Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of other secondary metabolites	1	3
M00872	25.0	O-glycan biosynthesis, mannose type (core M3)	Pathway modules; Glycan metabolism; Glycan biosynthesis	1	3
M00146	21.43	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex	Pathway modules; Energy metabolism; ATP synthesis	3	11
