#target name                                          accession query name           accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#---------------------------------------------------- --------- -------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
ERZ477576.82418-NODE-82418-length-674-cov-1.95961     -         5_8S_rRNA            RF00002   hmm        8      106      386      487      +     -    6 0.59   0.0   24.1    0.0086 !   -
ERZ477576.47713-NODE-47713-length-902-cov-5.21724     -         5_8S_rRNA            RF00002   hmm        9      108      684      583      -     -    6 0.57   0.0   24.1     0.009 !   -
ERZ477576.226590-NODE-226590-length-406-cov-26.3162   -         5_8S_rRNA            RF00002   hmm       10      106      194       98      -     -    6 0.51   0.0   24.1    0.0092 !   -
ERZ477576.11079-NODE-11079-length-2183-cov-12.7453    -         5_8S_rRNA            RF00002   hmm        7      110     1831     1725      -     -    6 0.51   0.0   23.6     0.013 ?   -
ERZ477576.52422-NODE-52422-length-856-cov-3.9201      -         5_8S_rRNA            RF00002   hmm        7       73      487      420      -     -    6 0.51   0.0   23.0     0.019 ?   -
ERZ477576.77835-NODE-77835-length-694-cov-7.33803     -         5_8S_rRNA            RF00002   hmm       10       67       67        9      -     -    6 0.59   0.0   22.5     0.028 ?   -
ERZ477576.597633-NODE-597633-length-260-cov-2.91707   -         5_8S_rRNA            RF00002   hmm        9       91       95       11      -     -    6 0.53   0.0   22.3     0.032 ?   -
ERZ477576.94155-NODE-94155-length-630-cov-1.6         -         5_8S_rRNA            RF00002   hmm        9      107      198       98      -     -    6 0.52   0.0   22.1     0.037 ?   -
ERZ477576.16099-NODE-16099-length-1731-cov-18.472     -         5_8S_rRNA            RF00002   hmm       10      109      909     1010      +     -    6 0.49   0.0   21.7      0.05 ?   -
ERZ477576.81187-NODE-81187-length-679-cov-4.91667     -         5_8S_rRNA            RF00002   hmm        9       71      582      645      +     -    6 0.48   0.0   21.6     0.054 ?   -
ERZ477576.99966-NODE-99966-length-611-cov-2.59353     -         5_8S_rRNA            RF00002   hmm       10      107      254      353      +     -    6 0.56   0.0   20.8     0.093 ?   -
ERZ477576.352421-NODE-352421-length-330-cov-1.51273   -         5_8S_rRNA            RF00002   hmm       10      117      285      178      -     -    6 0.53   0.0   20.6      0.11 ?   -
ERZ477576.141571-NODE-141571-length-512-cov-3.04595   -         5_8S_rRNA            RF00002   hmm       10      110      353      251      -     -    6 0.50   0.0   20.5      0.12 ?   -
ERZ477576.399659-NODE-399659-length-312-cov-1.12451   -         5_8S_rRNA            RF00002   hmm       34      123        4       94      +     -    6 0.53   0.0   20.1      0.15 ?   -
ERZ477576.60072-NODE-60072-length-796-cov-6.34143     -         5_8S_rRNA            RF00002   hmm       11      109      223      123      -     -    6 0.50   0.0   19.8       0.2 ?   -
ERZ477576.61640-NODE-61640-length-785-cov-7.3863      -         5_8S_rRNA            RF00002   hmm       10      106      225      127      -     -    6 0.51   0.0   19.8       0.2 ?   -
ERZ477576.5898-NODE-5898-length-3245-cov-3.44828      -         5_8S_rRNA            RF00002   hmm        9       58     3196     3245      +     -    6 0.64   0.0   19.3      0.29 ?   -
ERZ477576.406793-NODE-406793-length-309-cov-3.8189    -         5_8S_rRNA            RF00002   hmm       12       69      244      302      +     -    6 0.56   0.0   19.2      0.29 ?   -
ERZ477576.508072-NODE-508072-length-280-cov-2.24      -         5_8S_rRNA            RF00002   hmm       10       60       53        2      -     -    6 0.60   0.0   19.2       0.3 ?   -
ERZ477576.418965-NODE-418965-length-305-cov-3.592     -         5_8S_rRNA            RF00002   hmm       11       69       67        8      -     -    6 0.57   0.1   18.5       0.5 ?   -
ERZ477576.875232-NODE-875232-length-223-cov-1.07738   -         5_8S_rRNA            RF00002   hmm       39      134       73      168      +     -    6 0.45   0.0   18.2      0.61 ?   -
ERZ477576.1087829-NODE-1087829-length-112-cov-5.38596 -         5_8S_rRNA            RF00002   hmm       34      123      110       19      -     -    6 0.46   0.0   17.9      0.78 ?   -
ERZ477576.477848-NODE-477848-length-288-cov-1.49356   -         5_8S_rRNA            RF00002   hmm       34      148      287      173      -     -    6 0.48   0.0   17.5         1 ?   -
ERZ477576.653205-NODE-653205-length-250-cov-2.06154   -         5_8S_rRNA            RF00002   hmm        6      100      147       54      -     -    6 0.52   0.0   17.3       1.2 ?   -
ERZ477576.19396-NODE-19396-length-1535-cov-4.34189    -         5_8S_rRNA            RF00002   hmm       33      107        6       81      +     -    6 0.51   0.0   17.2       1.2 ?   -
ERZ477576.348304-NODE-348304-length-332-cov-1.32491   -         5_8S_rRNA            RF00002   hmm       11       68       94      148      +     -    6 0.38   0.0   16.8       1.6 ?   -
ERZ477576.141348-NODE-141348-length-513-cov-1.32096   -         5_8S_rRNA            RF00002   hmm       12       64      312      364      +     -    6 0.55   0.0   15.6         4 ?   -
ERZ477576.552-NODE-552-length-12755-cov-19.7761       -         5_8S_rRNA            RF00002   hmm       32      135     9019     8916      -     -    6 0.33   0.0   15.1       5.7 ?   -
ERZ477576.39231-NODE-39231-length-1006-cov-1.57413    -         5_8S_rRNA            RF00002   hmm       55      121      752      826      +     -    6 0.51   0.0   14.9       6.3 ?   -
ERZ477576.206968-NODE-206968-length-425-cov-0.8       -         5_8S_rRNA            RF00002   hmm       31      134      346      240      -     -    6 0.48   0.0   14.8         7 ?   -
ERZ477576.177869-NODE-177869-length-458-cov-0.828784  -         5_8S_rRNA            RF00002   hmm       11      113      243      344      +     -    6 0.47   0.0   14.6         8 ?   -
#
# Program:         cmsearch
# Version:         1.1.2 (July 2016)
# Pipeline mode:   SEARCH
# Query file:      /hps/nobackup2/production/metagenomics/pipeline/testing/amplicon-test/work-dir/kate/d6546107-b3e0-4285-9cdf-a112ffd69a52/find_ribosomal_ncRNAs/cmsearch/RF00002.cm
# Target file:     /hps/nobackup2/production/metagenomics/pipeline/testing/amplicon-test/work-dir/kate/d6546107-b3e0-4285-9cdf-a112ffd69a52/index_reads/ERZ477576_FASTA.fasta
# Option settings: cmsearch -Z 1000 -o ERZ477576_FASTA.fasta.RF00002.cmsearch.out --tblout ERZ477576_FASTA.fasta.RF00002.cmsearch_matches.tbl --noali --hmmonly /hps/nobackup2/production/metagenomics/pipeline/testing/amplicon-test/work-dir/kate/d6546107-b3e0-4285-9cdf-a112ffd69a52/find_ribosomal_ncRNAs/cmsearch/RF00002.cm /hps/nobackup2/production/metagenomics/pipeline/testing/amplicon-test/work-dir/kate/d6546107-b3e0-4285-9cdf-a112ffd69a52/index_reads/ERZ477576_FASTA.fasta 
# Current dir:     /hps/nobackup2/production/metagenomics/pipeline/testing/amplicon-test/work-dir/kate/d6546107-b3e0-4285-9cdf-a112ffd69a52/find_ribosomal_ncRNAs/cmsearch/scatter1
# Date:            Fri Sep 13 13:44:58 2019
# [ok]
#target name                                          accession query name           accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#---------------------------------------------------- --------- -------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
ERZ477576.20-NODE-20-length-51199-cov-120.907         -         SSU_rRNA_bacteria    RF00177   hmm        4     1531    41954    40475      -     -    6 0.55   8.0 1229.5         0 !   -
ERZ477576.2666-NODE-2666-length-5311-cov-42.7479      -         SSU_rRNA_bacteria    RF00177   hmm        4     1532     1414     2944      +     -    6 0.49   3.0 1177.9         0 !   -
ERZ477576.38478-NODE-38478-length-1016-cov-53.2726    -         SSU_rRNA_bacteria    RF00177   hmm      488     1502        1     1016      +     -    6 0.56   4.7  859.0  2.5e-256 !   -
ERZ477576.30134-NODE-30134-length-1176-cov-21.8635    -         SSU_rRNA_bacteria    RF00177   hmm        5      960      924        2      -     -    6 0.50   3.9  739.5  3.2e-220 !   -
ERZ477576.22781-NODE-22781-length-1391-cov-25.378     -         SSU_rRNA_bacteria    RF00177   hmm        4      960      959        2      -     -    6 0.53   9.1  728.8  5.2e-217 !   -
ERZ477576.12306-NODE-12306-length-2044-cov-18.0352    -         SSU_rRNA_bacteria    RF00177   hmm        4      960      955        2      -     -    6 0.52   6.9  724.5  1.1e-215 !   -
ERZ477576.48948-NODE-48948-length-889-cov-62.2194     -         SSU_rRNA_bacteria    RF00177   hmm        4      932      883        2      -     -    6 0.50   3.6  700.2  2.4e-208 !   -
ERZ477576.51086-NODE-51086-length-868-cov-16.4662     -         SSU_rRNA_bacteria    RF00177   hmm       97      960        1      867      +     -    6 0.54   8.5  678.7  7.2e-202 !   -
ERZ477576.1769-NODE-1769-length-6637-cov-6.79535      -         SSU_rRNA_bacteria    RF00177   hmm        4      949     5691     6637      +     -    6 0.49   2.3  665.9  5.3e-198 !   -
ERZ477576.33199-NODE-33199-length-1109-cov-30.889     -         SSU_rRNA_bacteria    RF00177   hmm        4      923      239     1109      +     -    6 0.48   2.9  662.5  5.9e-197 !   -
ERZ477576.27450-NODE-27450-length-1241-cov-3.64165    -         SSU_rRNA_bacteria    RF00177   hmm        4      806      437     1241      +     -    6 0.47   0.5  571.8  1.5e-169 !   -
ERZ477576.57925-NODE-57925-length-811-cov-8.15476     -         SSU_rRNA_bacteria    RF00177   hmm        4      805      808        1      -     -    6 0.47   0.5  562.6  8.4e-167 !   -
ERZ477576.48209-NODE-48209-length-897-cov-64.2542     -         SSU_rRNA_bacteria    RF00177   hmm      867     1532      894      231      -     -    6 0.53   0.1  554.7  2.1e-164 !   -
ERZ477576.84476-NODE-84476-length-665-cov-41.0885     -         SSU_rRNA_bacteria    RF00177   hmm      302      987        1      663      +     -    6 0.50   2.6  552.6  9.1e-164 !   -
ERZ477576.73874-NODE-73874-length-713-cov-370.74      -         SSU_rRNA_bacteria    RF00177   hmm      358     1086        2      713      +     -    6 0.47   1.3  550.7  3.3e-163 !   -
ERZ477576.93972-NODE-93972-length-630-cov-11.5148     -         SSU_rRNA_bacteria    RF00177   hmm      308      954        1      630      +     -    6 0.54   4.4  545.1  1.7e-161 !   -
ERZ477576.46792-NODE-46792-length-912-cov-3.17386     -         SSU_rRNA_bacteria    RF00177   hmm        3      765      768        1      -     -    6 0.53   4.4  538.4  1.8e-159 !   -
ERZ477576.101829-NODE-101829-length-605-cov-31.2073   -         SSU_rRNA_bacteria    RF00177   hmm      311      932        2      604      +     -    6 0.55   4.0  511.9  1.8e-151 !   -
ERZ477576.103134-NODE-103134-length-601-cov-46.8242   -         SSU_rRNA_bacteria    RF00177   hmm      488     1086      601        1      -     -    6 0.52   0.8  492.0  1.9e-145 !   -
ERZ477576.99584-NODE-99584-length-612-cov-107.668     -         SSU_rRNA_bacteria    RF00177   hmm      315      918        2      612      +     -    6 0.50   2.4  484.6  3.2e-143 !   -
ERZ477576.108716-NODE-108716-length-585-cov-18.7358   -         SSU_rRNA_bacteria    RF00177   hmm      384      960      585        2      -     -    6 0.53   2.9  472.3  1.6e-139 !   -
ERZ477576.111756-NODE-111756-length-577-cov-21.59     -         SSU_rRNA_bacteria    RF00177   hmm      361      930        1      577      +     -    6 0.51   2.4  454.6  3.7e-134 !   -
ERZ477576.139883-NODE-139883-length-515-cov-80.0935   -         SSU_rRNA_bacteria    RF00177   hmm      911     1427      515        3      -     -    6 0.53   0.1  433.2  1.1e-127 !   -
ERZ477576.148405-NODE-148405-length-500-cov-71.3371   -         SSU_rRNA_bacteria    RF00177   hmm      911     1413        1      499      +     -    6 0.53   0.0  426.0  1.6e-125 !   -
ERZ477576.155182-NODE-155182-length-489-cov-66.0392   -         SSU_rRNA_bacteria    RF00177   hmm      911     1399      489        2      -     -    6 0.52   0.0  411.2  4.8e-121 !   -
ERZ477576.28935-NODE-28935-length-1204-cov-18.0653    -         SSU_rRNA_bacteria    RF00177   hmm     1050     1532     1204      718      -     -    6 0.54   0.0  405.5  2.6e-119 !   -
ERZ477576.6135-NODE-6135-length-3168-cov-30.0601      -         SSU_rRNA_bacteria    RF00177   hmm     1054     1532        1      478      +     -    6 0.54   0.0  403.0  1.4e-118 !   -
ERZ477576.144909-NODE-144909-length-506-cov-69.0976   -         SSU_rRNA_bacteria    RF00177   hmm      315      811        2      505      +     -    6 0.50   2.0  400.5  8.2e-118 !   -
ERZ477576.67471-NODE-67471-length-748-cov-5.19048     -         SSU_rRNA_bacteria    RF00177   hmm        4      576      155      748      +     -    6 0.51   0.8  398.6  3.1e-117 !   -
ERZ477576.175574-NODE-175574-length-460-cov-9.44938   -         SSU_rRNA_bacteria    RF00177   hmm      488      949      460        1      -     -    6 0.55   2.6  392.8  1.7e-115 !   -
ERZ477576.166832-NODE-166832-length-472-cov-2.60671   -         SSU_rRNA_bacteria    RF00177   hmm      314      801      471        2      -     -    6 0.54   3.3  390.0  1.2e-114 !   -
ERZ477576.169683-NODE-169683-length-468-cov-5.53995   -         SSU_rRNA_bacteria    RF00177   hmm      308      793      468        1      -     -    6 0.59   5.9  384.7  4.8e-113 !   -
ERZ477576.8325-NODE-8325-length-2620-cov-8.81598      -         SSU_rRNA_bacteria    RF00177   hmm        4      547     2105     2620      +     -    6 0.52   0.7  370.8  7.5e-109 !   -
ERZ477576.185925-NODE-185925-length-447-cov-67.2857   -         SSU_rRNA_bacteria    RF00177   hmm      895     1345        1      447      +     -    6 0.52   0.0  363.9    9e-107 !   -
ERZ477576.87573-NODE-87573-length-653-cov-9.6204      -         SSU_rRNA_bacteria    RF00177   hmm      871     1531        2      652      +     -    6 0.53   0.1  362.7  2.1e-106 !   -
ERZ477576.84563-NODE-84563-length-665-cov-2.15738     -         SSU_rRNA_bacteria    RF00177   hmm      273      926      638        5      -     -    6 0.39   0.0  352.1  3.4e-103 !   -
ERZ477576.203168-NODE-203168-length-428-cov-4.82306   -         SSU_rRNA_bacteria    RF00177   hmm     1050     1476        1      427      +     -    6 0.53   0.0  351.8  4.2e-103 !   -
ERZ477576.196649-NODE-196649-length-435-cov-19.2553   -         SSU_rRNA_bacteria    RF00177   hmm      517      949        1      435      +     -    6 0.47   0.4  327.8   7.5e-96 !   -
ERZ477576.209169-NODE-209169-length-422-cov-3.77112   -         SSU_rRNA_bacteria    RF00177   hmm     1081     1502      422        1      -     -    6 0.57   0.1  326.1   2.4e-95 !   -
ERZ477576.226629-NODE-226629-length-406-cov-3.88319   -         SSU_rRNA_bacteria    RF00177   hmm      890     1296        1      406      +     -    6 0.53   0.1  322.1   4.1e-94 !   -
ERZ477576.291799-NODE-291799-length-360-cov-9.42295   -         SSU_rRNA_bacteria    RF00177   hmm     1052     1413        1      359      +     -    6 0.53   0.0  314.7   6.9e-92 !   -
ERZ477576.100905-NODE-100905-length-608-cov-4.84629   -         SSU_rRNA_bacteria    RF00177   hmm      871     1487        2      608      +     -    6 0.55   0.4  306.7   1.8e-89 !   -
ERZ477576.272179-NODE-272179-length-372-cov-22.9401   -         SSU_rRNA_bacteria    RF00177   hmm      315      701        2      370      +     -    6 0.57   2.3  292.1   4.6e-85 !   -
ERZ477576.342792-NODE-342792-length-334-cov-37.3333   -         SSU_rRNA_bacteria    RF00177   hmm     1052     1408      334        2      -     -    6 0.56   0.0  286.3   2.7e-83 !   -
ERZ477576.107247-NODE-107247-length-589-cov-14.9663   -         SSU_rRNA_bacteria    RF00177   hmm      312      919        9      584      +     -    6 0.53   1.6  269.2   3.9e-78 !   -
ERZ477576.174794-NODE-174794-length-461-cov-142.579   -         SSU_rRNA_bacteria    RF00177   hmm        4      411       82      461      +     -    6 0.50   0.2  266.0   3.4e-77 !   -
ERZ477576.7782-NODE-7782-length-2735-cov-72.1049      -         SSU_rRNA_bacteria    RF00177   hmm        4      411     2356     2735      +     -    6 0.49   0.1  264.7   8.7e-77 !   -
ERZ477576.206230-NODE-206230-length-425-cov-2.23514   -         SSU_rRNA_bacteria    RF00177   hmm      163      567      423        1      -     -    6 0.50   0.1  264.4   1.1e-76 !   -
ERZ477576.400850-NODE-400850-length-311-cov-17.6953   -         SSU_rRNA_bacteria    RF00177   hmm      511      819      311        3      -     -    6 0.50   0.6  249.5   3.5e-72 !   -
ERZ477576.191247-NODE-191247-length-441-cov-34.158    -         SSU_rRNA_bacteria    RF00177   hmm        4      366      373        3      -     -    6 0.50   0.1  246.3     3e-71 !   -
ERZ477576.412782-NODE-412782-length-307-cov-3.09921   -         SSU_rRNA_bacteria    RF00177   hmm      922     1230        1      307      +     -    6 0.53   0.0  245.1   7.3e-71 !   -
ERZ477576.443545-NODE-443545-length-298-cov-1.11111   -         SSU_rRNA_bacteria    RF00177   hmm      235      547        2      298      +     -    6 0.52   0.1  241.4   9.7e-70 !   -
