Genome	KEGG_module	Counts
MGYG000297003	M00145	2
MGYG000297003	M00239	1
MGYG000297003	M00439	1
MGYG000297003	M00154	3
MGYG000297003	M00193	3
MGYG000297003	M00135	7
MGYG000297003	M00368	1
MGYG000297003	M00609	1
MGYG000297003	M00845	7
MGYG000297003	M00361	8
MGYG000297003	M00060	2
MGYG000297003	M00157	9
MGYG000297003	M00149	3
MGYG000297003	M00050	5
MGYG000297003	M00595	2
MGYG000297003	M00079	1
MGYG000297003	M00325	1
MGYG000297003	M00326	1
MGYG000297003	M00339	1
MGYG000297003	M00571	1
MGYG000297003	M00575	1
MGYG000297003	M00646	3
MGYG000297003	M00647	3
MGYG000297003	M00696	1
MGYG000297003	M00697	1
MGYG000297003	M00709	1
MGYG000297003	M00720	1
MGYG000297003	M00821	1
MGYG000297003	M00210	4
MGYG000297003	M00120	4
MGYG000297003	M00637	1
MGYG000297003	M00028	5
MGYG000297003	M00129	4
MGYG000297003	M00115	3
MGYG000297003	M00726	1
MGYG000297003	M00260	5
MGYG000297003	M00024	2
MGYG000297003	M00025	2
MGYG000297003	M00040	1
MGYG000297003	M00569	1
MGYG000297003	M00022	7
MGYG000297003	M00189	2
MGYG000297003	M00194	1
MGYG000297003	M00196	1
MGYG000297003	M00197	1
MGYG000297003	M00200	1
MGYG000297003	M00201	1
MGYG000297003	M00206	1
MGYG000297003	M00207	1
MGYG000297003	M00299	2
MGYG000297003	M00300	1
MGYG000297003	M00491	1
MGYG000297003	M00602	1
MGYG000297003	M00605	1
MGYG000297003	M00606	1
MGYG000297003	M00641	1
MGYG000297003	M00642	1
MGYG000297003	M00643	1
MGYG000297003	M00718	2
MGYG000297003	M00768	1
MGYG000297003	M00822	1
MGYG000297003	M00045	4
MGYG000297003	M00373	6
MGYG000297003	M00741	5
MGYG000297003	M00156	7
MGYG000297003	M00429	3
MGYG000297003	M00088	1
MGYG000297003	M00095	2
MGYG000297003	M00375	2
MGYG000297003	M00307	4
MGYG000297003	M00336	3
MGYG000297003	M00122	2
MGYG000297003	M00052	4
MGYG000297003	M00707	2
MGYG000297003	M00242	3
MGYG000297003	M00243	1
MGYG000297003	M00244	2
MGYG000297003	M00769	2
MGYG000297003	M00450	1
MGYG000297003	M00645	1
MGYG000297003	M00648	1
MGYG000297003	M00529	3
MGYG000297003	M00086	3
MGYG000297003	M00188	2
MGYG000297003	M00240	4
MGYG000297003	M00727	1
MGYG000297003	M00222	4
MGYG000297003	M00006	2
MGYG000297003	M00008	2
MGYG000297003	M00029	2
MGYG000297003	M00844	2
MGYG000297003	M00021	1
MGYG000297003	M00391	1
MGYG000297003	M00236	2
MGYG000297003	M00027	1
MGYG000297003	M00550	2
MGYG000297003	M00338	3
MGYG000297003	M00002	6
MGYG000297003	M00394	2
MGYG000297003	M00255	3
MGYG000297003	M00061	1
MGYG000297003	M00308	3
MGYG000297003	M00631	1
MGYG000297003	M00762	2
MGYG000297003	M00377	2
MGYG000297003	M00039	1
MGYG000297003	M00350	1
MGYG000297003	M00552	2
MGYG000297003	M00046	1
MGYG000297003	M00087	3
MGYG000297003	M00596	2
MGYG000297003	M00032	4
MGYG000297003	M00669	3
MGYG000297003	M00670	3
MGYG000297003	M00475	1
MGYG000297003	M00005	1
MGYG000297003	M00554	2
MGYG000297003	M00615	1
MGYG000297003	M00064	1
MGYG000297003	M00133	2
MGYG000297003	M00699	1
MGYG000297003	M00501	1
MGYG000297003	M00568	1
MGYG000297003	M00364	2
MGYG000297003	M00365	1
MGYG000297003	M00366	2
MGYG000297003	M00367	1
MGYG000297003	M00117	2
MGYG000297003	M00015	1
